Transect;Station;Name;Acanthastrea;Acropora;Astrea;Astreopora;Coscinarea;Cyphastrea;Dipsatrea;Favites;Galaxea;Goniastrea;Other Hard Coral;Leptastrea;Montipora;Paramontastrea;Pavona;Platygyra;Pocillopora;Porites;Psammocora;Cladiella;Echinostrephus;Lobophytum;Millepora;Molluscs;Sarcophytum;Other Soft Corals;Sand;Dead Corals;Cyanobacteria;CCA;Dictyosphaeria;Halimeda;Amphiroa;Neomeris;Padina;Turbinaria;Turf;Turf_sand;Ulva
A;2;RUNTRANS2A_10,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,11088889;2,77797222;0;0;0;0;0;0;2,77797222;0;0;0;2,77797222;22,22177778;0;0;2,77797222;0;0;0;2,77797222;52,77747223;0
A;2;RUNTRANS2A_11,jpg;0;0;0;0;0;0;0;0;0;0;2,85734857;0;0;0;0;0;2,85734857;0;0;0;0;0;0;0;5,71469714;0;8,571017146;0;0;5,71469714;0;0;0;0;0;0;0;74,28489144;0
A;2;RUNTRANS2A_12,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,941363319;0;0;0;0;0;0;0;0;5,882726637;0;0;11,76439447;0;0;2,941363319;0;0;0;5,882726637;70,58742562;0
A;2;RUNTRANS2A_13,jpg;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,667;0;0;0;0;0;0;0;58,333;0
A;2;RUNTRANS2A_14,jpg;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;2,778;0;0;0;0;0;19,444;0;0;2,778;0;0;0;0;0;0;2,778;69,444;0
A;2;RUNTRANS2A_15,jpg;0;0;0;5,714638361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,714638361;0;0;0;0;0;5,714638361;0;0;37,14206369;0;0;0;0;0;0;2,85731918;42,85670205;0
A;2;RUNTRANS2A_16,jpg;0;0;0;5,882726637;0;0;0;0;0;0;0;0;0;0;0;0;0;2,941363319;0;0;2,941363319;0;0;0;0;0;2,941363319;0;0;44,11727336;0;0;0;0;0;0;0;41,17591004;0
A;2;RUNTRANS2A_17,jpg;0;0;0;5,71469714;0;0;0;0;0;0;0;0;0;0;0;0;0;2,85734857;0;5,71469714;0;0;0;0;0;0;8,571017146;0;0;11,42836572;0;0;0;0;0;0;2,85734857;62,85652572;0
A;2;RUNTRANS2A_18,jpg;0;0;0;11,11088889;0;0;0;0;0;0;0;0;0;0;2,77797222;0;2,77797222;0;0;0;2,77797222;0;0;0;0;0;0;0;0;5,555944441;0;0;0;0;0;0;0;72,22127779;2,77797222
A;2;RUNTRANS2A_19,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,57172245;0;2,85737796;8,571105305;0;0;0;0;0;0;0;59,99979429;0
A;2;RUNTRANS2A_20,jpg;0;0;0;2,85734857;0;0;0;0;0;0;0;0;0;0;0;0;28,57142857;0;0;0;2,85734857;0;0;0;0;0;8,571017146;0;0;5,71469714;0;0;2,85734857;0;0;0;0;48,57081143;0
B;2;RUNTRANS2B_01,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;8,333;0;0;0;0;0;0;0;0;0;0;0;41,667;0;0;0;0;0;0;19,444;27,778;0
B;2;RUNTRANS2B_02,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,85734857;0;0;14,28571429;0;0;0;0;0;0;2,85734857;79,99958857;0
B;2;RUNTRANS2B_03,jpg;0;0;0;17,14288653;0;0;0;0;0;0;0;0;0;0;0;0;2,85731918;0;0;0;0;0;0;0;0;0;11,42824817;0;0;31,42845388;0;0;2,85731918;0;0;0;5,714638361;28,5711347;0
B;2;RUNTRANS2B_04,jpg;0;0;0;8,333083331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,77802778;11,11111111;0;0;8,333083331;0;0;0;11,11111111;58,33358334;0
B;2;RUNTRANS2B_05,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,14306286;2,85734857;0;0;0;0;0;0;0;0;2,85734857;0;0;11,42836572;0;0;0;0;0;0;0;65,71387429;0
B;2;RUNTRANS2B_06,jpg;0;14,70591349;0;5,882788925;0;0;0;0;0;0;0;0;0;0;0;0;14,70591349;11,76451903;0;0;0;0;0;0;0;0;0;0;0;11,76451903;0;0;0;0;0;0;2,941394462;38,23495156;0
B;2;RUNTRANS2B_07,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;72,222;0
B;2;RUNTRANS2B_08,jpg;0;0;8,333;0;0;0;0;0;0;0;0;0;0;0;0;0;16,667;16,667;0;0;0;0;0;0;0;0;0;0;0;27,778;0;0;0;0;0;0;8,333;22,222;0
B;2;RUNTRANS2B_09,jpg;0;5,714755919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,571105305;14,28586122;0;0;0;0;0;0;0;0;0;0;0;8,571105305;0;0;0;0;0;0;19,99958857;42,85758367;0
B;2;RUNTRANS2B_10,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,49971875;0;0;0;0;0;0;0;0;0;3,125210935;0;0;18,75014062;0;0;0;0;0;0;3,125210935;62,49971875;0
B;2;RUNTRANS2B_11,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,778;0;0;0;0;0;0;0;0;2,778;0;0;25;0;0;0;0;0;0;19,444;50;0
B;2;RUNTRANS2B_12,jpg;0;0;2,941363319;2,941363319;0;0;0;2,941363319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,941363319;0;0;14,70575779;0;0;0;0;0;0;5,882726637;67,6460623;0
B;2;RUNTRANS2B_13,jpg;3,125246093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,49985938;0;0;0;0;0;0;6,250492187;78,12440234;0
B;2;RUNTRANS2B_14,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,941425607;0;0;0;0;0;0;0;0;0;23,5292872;0;0;11,7646436;0;0;0;23,5292872;38,2353564;0
B;2;RUNTRANS2B_15,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,125210935;15,62492969;0;0;0;0;0;0;0;0;0;0;0;18,75014062;0;0;6,25042187;0;0;0;37,49915626;18,75014062;0
B;2;RUNTRANS2B_16,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,52903806;2,941394462;0;0;2,941394462;0;0;0;0;0;0;0;11,76451903;17,64730796;0;0;0;0;0;0;14,70591349;26,47043253;0
B;2;RUNTRANS2B_17,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,333;0;0;0;0;0;0;0;0;0;0;0;0;19,444;0;0;2,778;0;0;0;13,889;55,556;0
B;2;RUNTRANS2B_18,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,85734857;0;0;0;0;0;0;0;0;5,71469714;0;0;28,57142857;0;0;8,571017146;0;0;0;5,71469714;48,57081143;0
B;2;RUNTRANS2B_19,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,555944441;0;0;0;0;0;0;0;0;0;5,555944441;0;0;44,44355556;0;0;0;0;0;0;2,77797222;41,66658333;0
B;2;RUNTRANS2B_20,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,85696653;0;0;0;0;0;0;2,85737796;0;0;5,714755919;0;0;19,99958857;0;0;0;0;0;0;8,571105305;40,00020571;0
C;2;RUNTRANS2C_01,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,71469714;0;0;0;0;0;0;0;0;0;0;0;0;19,99938286;0;0;0;0;0;0;17,14306286;57,14285714;0
C;2;RUNTRANS2C_02,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,667;0;0;0;0;0;0;0;0;0;0;0;0;44,444;0;0;0;0;0;0;0;38,889;0
C;2;RUNTRANS2C_03,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,33333333;0;0;0;0;0;0;19,44419444;47,22247222;0
C;2;RUNTRANS2C_04,jpg;0;0;0;2,77797222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,55569444;0;0;0;0;0;0;11,11088889;52,77747223;2,77797222
C;2;RUNTRANS2C_05,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,941394462;38,23495156;0;0;2,941394462;0;0;0;14,70591349;41,17634602;0
C;2;RUNTRANS2C_06,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,85734857;0;0;0;0;0;0;0;0;0;0;0;37,14244572;0;0;0;0;0;0;28,57142857;31,42877714;0
C;2;RUNTRANS2C_07,jpg;0;0;0;3,030534434;0;0;0;0;0;0;0;0;0;0;0;0;6,061068869;6,061068869;0;0;0;0;0;0;0;0;9,090512398;0;0;15,15158127;0;0;0;0;0;0;9,090512398;51,51472176;0
C;2;RUNTRANS2C_08,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,332916671;13,88886111;0;0;0;0;0;0;0;0;0;2,77797222;0;30,55569444;0;0;2,77797222;0;0;0;5,555944441;36,11063889;0
C;2;RUNTRANS2C_09,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,556;0;0;0;0;0;0;11,111;83,333;0
C;2;RUNTRANS2C_10,jpg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,222;0;0;0;0;0;0;2,778;75;0
C;2;RUNTRANS2C_11,jpg;2,85731918;0;0;5,714638361;0;0;2,85731918;0;0;0;0;0;0;0;0;0;5,714638361;0;0;0;0;0;0;0;0;0;5,714638361;0;0;8,570928989;0;0;11,42824817;0;0;0;17,14288653;39,99938287;0
C;2;RUNTRANS2C_12,jpg;0;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;11,111;0;0;0;0;0;0;0;0;0;0;0;0;11,111;0;0;0;0;0;0;16,667;58,333;0
C;2;RUNTRANS2C_13,jpg;0;0;2,778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,111;0;0;0;0;0;0;0;0;0;0;8,333;16,667;0;0;2,778;0;0;0;0;33,333;0
C;2;RUNTRANS2C_14,jpg;0;0;0;8,571105305;0;0;0;0;0;0;0;0;0;0;0;0;0;11,42848327;0;0;0;0;0;0;45,71393306;0;2,85737796;0;0;0;0;0;0;0;0;0;5,714755919;25,71434449;0
