"","Acanthastrea","Acanthastrea_echinata","Acropora","Acropora_abrotanoides","Acropora_branching","Acropora_digitifera","Acropora_Robusta","Astrea","Astreopora","Astreopora_myriophthalma","Astreopora_ocellata","Coscinaraea","Cyphastrea","Dipsastraea","Dipsastraea_matthai","Echinopora","Favites","Favites_pentagona","Galaxea","Goniastrea","Goniastrea_stelligera","Gonistrea_pectinata","Hard_coral","Hydnophora","Leptastrea","Leptastrea_purpurea","Montipora","Paramontastraea_peresi","Pavona_venosa","Platygyra","Platygyra_pini","Plesiastrea_versipora","Pocillopora","Pocillopora_grandis_eydouxi","Pocillopora_meandrina","Pocillopora_verrucosa","Porites_branching","Porites_massive","Porites_rus","Psammocora","Psammocora_profundacella","Stylocoeniella","Turbinaria_coral","Turbinaria_irregularis","Cladiella","Echinostrephus_molaris","Lobophytum","Millepora","Molluscs","Sarcophyton","Soft_Coral","Sand","Dead_coral","Hard_Substrate","Cyanobacteria","Foraminifera","CCA","Dictyosphaeria","Green_turfing_algae","Halimeda","Liagora","Neomeris","Padina","Turbinaria_algae","Turf_algae","Turf_and_sand","Ulva"
"2A_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94139446238552,0,0,0,0,2.94139446238552,0,0,2.94139446238552,0,0,0,0,0,0,0,0,5.88278892477103,0,0,0,0,0,0,23.529038064482,0,0,0,0,0,0,0,8.82312456985547,52.940865053735,0
"2A_02",0,0,0,9.09061156808413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06113499007265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06113499007265,0,0,0,0,9.09061156808413,0,0,0,0,0,0,0,21.2117906312046,48.4847162524818,0
"2A_03",0,0,0,0,0,0,0,0,0,11.111,0,0,0,0,0,0,0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.444,0,0,0,0,0,0,0,2.778,30.556,0
"2A_04",0,0,0,0,0,0,0,0,2.85734856978287,42.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57101714614855,0,0,0,8.57101714614855,0,0,0,2.85734856978287,0,0,0,2.85734856978287,31.4287771412114,0
"2A_05",0,0,0,0,0,0,0,0,2.7780277802778,22.2222222222222,0,0,0,0,2.7780277802778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111,0,8.33308333083331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55605556055561,0,2.7780277802778,0,8.33308333083331,0,0,0,8.33308333083331,0,0,0,8.33308333083331,19.4441944419444,0
"2A_06",0,2.77794444111118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55588888222236,0,0,0,0,0,0,0,0,0,0,0,2.77794444111118,0,2.77794444111118,0,0,0,2.77794444111118,0,0,0,0,0,38.8882222355553,0,0,0,0,0,0,0,16.6666666666667,27.777444451111,0
"2A_07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94139446238552,0,0,0,0,0,0,0,0,2.94139446238552,0,0,0,0,0,0,0,0,0,0,0,35.293557096723,0,0,0,0,0,0,0,2.94139446238552,55.8822595161205,0
"2A_08",0,0,0,0,0,0,0,0,0,0,0,0,0,2.77794444111118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55588888222236,0,0,0,0,2.77794444111118,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55588888222236,0,0,0,0,2.77794444111118,0,0,0,0,0,0,0,0,80.5543889122218,0
"2A_09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71469713956574,0,5.71469713956574,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4283657159314,0,0,0,0,2.85734856978287,0,0,0,0,0,0,0,0,74.2848914351542,0
"2A_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1108888911111,0,0,0,2.7779722202778,0,0,0,0,0,0,0,0,0,0,0,2.7779722202778,0,0,0,0,2.7779722202778,0,22.2217777822222,0,0,0,2.7779722202778,0,0,0,2.7779722202778,52.7774722252777,0
